metro,tool_name,CarrierGasLinePressureTEOS2_mean_10,CarrierGasLinePressureTEOS2_mean_12,CarrierGasLinePressureTEOS_mean_10,CarrierGasLinePressureTEOS_mean_12,ChamberPressure_mean_10,ChamberPressure_mean_12,HeTEPOGasFlow_mean_12,HeatExchangerResistivity_mean_10,HeatExchangerResistivity_mean_12,HeatExchangerTemp1_mean_12,HeatExchangerTemp2_mean_10,HeatExchangerTemp2_mean_12,HeatExchangerTemp3_mean_10,HeatExchangerTemp3_mean_12,HeaterLiftPosition_mean_10,HeaterOutputPowerPercent_mean_10,HeaterOutputPowerPercent_mean_12,HeaterTemp_mean_10,N2GasFlow_mean_10,N2GasFlow_mean_12,N2TEBGasFlow_mean_10,N2TEBGasFlow_mean_12,N2TEOSGasFlow_mean_10,N2TEOSGasFlow_mean_12,NF3GasFlow_mean_10,NF3GasFlow_mean_12,O3GasFlow_mean_10,O3GasFlow_mean_12,OzoneBackPressure_mean_10,OzoneBackPressure_mean_12,OzoneConc_mean_10,OzoneConc_mean_12,PinLiftPosition_mean_10,ShowerheadHeaterSpacingOtherSide_mean_10,ShowerheadHeaterSpacing_mean_10,StepElapsedTime_mean_10,StepElapsedTime_mean_12,TEBFlow_mean_10,TEOSFlow_mean_10,TEOSFlow_mean_12,TEPOFlow_mean_10,ThrottleValveAngle_mean_10,ThrottleValveAngle_mean_12
1992.1572,BPPR4D01A2,7.986520793,7.96131528,8.541586074,8.531431335,100.2064852,99.95870781,7000.2,3301587.302,3301587.302,70.03663004,70.42429792,70.37851038,75.08547009,75.09157509,1.707398187,35.5625,36.5,480.284375,1419.515625,1419.55,6000.378125,5999.5,7000.053125,6999.9,18.553125,18.05,15086.625,15090.0,40.17299965,40.21199942,12.44343749,12.48499966,113.0,0.260008239,0.246001813,15.30171875,1.33625,0.25075625,2.299221875,2.3011,0.207221875,16.77843753,16.7546617
2004.3836,BPPR4D01A1,7.986520793,7.96131528,8.541586074,8.531431335,100.2064852,99.95870781,7000.2,3301587.302,3301587.302,70.03663004,70.42429792,70.37851038,75.08547009,75.09157509,1.734791761,35.53125,36.0,480.253125,1419.515625,1419.55,6000.378125,5999.5,7000.053125,6999.9,18.553125,18.05,15086.625,15090.0,40.17299965,40.21199942,12.44343749,12.48499966,102.0,0.246001813,0.260008239,15.30171875,1.33625,0.25075625,2.299221875,2.3011,0.207221875,16.77843753,16.7546617
2068.7544,BPPR4D01A1,8.472497582,8.400870406,8.889929884,8.926015474,100.2749515,99.93431044,6999.6,3380952.381,3399267.399,70.03663004,70.40903541,70.42735043,75.1037851,75.11599512,1.734791761,35.15625,35.5,480.225,1419.65625,1420.0,5998.965625,6000.1,6999.8625,6999.6,18.26875,18.375,15086.0625,15085.5,40.18349987,40.19099951,12.45031247,12.47999954,102.0,0.246001813,0.260008239,16.19453125,2.25075,0.25094375,2.296228125,2.28715,0.207171875,16.81208419,16.7649617
2053.068,BPPR4D01A2,8.472497582,8.400870406,8.889929884,8.926015474,100.2749515,99.93431044,6999.6,3380952.381,3399267.399,70.03663004,70.40903541,70.42735043,75.1037851,75.11599512,1.707398187,35.1875,37.5,480.24375,1419.65625,1420.0,5998.965625,6000.1,6999.8625,6999.6,18.26875,18.375,15086.0625,15085.5,40.18349987,40.19099951,12.45031247,12.47999954,113.0,0.260008239,0.246001813,16.19453125,2.25075,0.25094375,2.296228125,2.28715,0.207171875,16.81208419,16.7649617
2042.4172,BPPR4D01A1,8.47382542,8.399419729,8.889748549,8.928916828,100.2771973,99.95930243,6999.9,3301587.302,3301587.302,70.03663004,70.38008586,70.4029304,75.09630155,75.14041514,1.734791761,36.22580645,37.5,480.1677419,1419.732258,1419.675,5999.554839,6000.1,6999.683871,7000.2,18.3,18.275,15084.58065,15082.5,40.17483874,40.1760006,12.44967738,12.47999954,102.0,0.246001813,0.260008239,15.56558065,1.43825,0.25113871,2.29816129,2.29385,0.207522581,16.81761351,16.78144169
2037.3084,BPPR4D01A2,8.47382542,8.399419729,8.889748549,8.928916828,100.2771973,99.95930243,6999.9,3301587.302,3301587.302,70.03663004,70.38008586,70.4029304,75.09630155,75.14041514,1.707398187,36.61290323,36.25,480.1935484,1419.732258,1419.675,5999.554839,6000.1,6999.683871,7000.2,18.3,18.275,15084.58065,15082.5,40.17483874,40.1760006,12.44967738,12.47999954,113.0,0.260008239,0.246001813,15.56558065,1.43825,0.25113871,2.29816129,2.29385,0.207522581,16.81761351,16.78144169
2026.8048,BPPR4D01A2,8.839337524,8.751934236,9.333837041,9.275628627,100.2657075,99.92852116,6999.9,3301587.302,3301587.302,70.03663004,70.40903541,70.37851038,75.23809524,75.23809524,1.707398187,36.8125,36.5,480.259375,1419.640625,1419.125,5999.26875,5999.8,7000.16875,6999.9,19.4625,19.2,15084.375,15082.5,40.17900002,40.17900038,12.45250005,12.46750021,113.0,0.260008239,0.246001813,16.27653125,2.23725,0.251378125,2.30029375,2.3088,0.2074875,16.81174085,16.7551767
2035.1268,BPPR4D01A1,8.839337524,8.751934236,9.333837041,9.275628627,100.2657075,99.92852116,6999.9,3301587.302,3301587.302,70.03663004,70.40903541,70.37851038,75.23809524,75.23809524,1.734791761,36.21875,35.5,480.228125,1419.640625,1419.125,5999.26875,5999.8,7000.16875,6999.9,19.4625,19.2,15084.375,15082.5,40.17900002,40.17900038,12.45250005,12.46750021,102.0,0.246001813,0.260008239,16.27653125,2.23725,0.251378125,2.30029375,2.3088,0.2074875,16.81174085,16.7551767
2064.9576,BPPR4D01A2,9.175894584,9.219052224,9.654617988,9.705029014,100.2694842,99.98325109,6999.9,3399267.399,3399267.399,70.13431013,70.41514042,70.4029304,75.15262515,75.16483516,1.707398187,36.40625,36.25,480.28125,1419.596875,1419.475,5999.26875,5999.5,6999.825,7000.2,19.3875,19.35,15086.625,15084.0,40.17449954,40.16999888,12.44656256,12.47000027,113.0,0.260008239,0.246001813,15.86690625,1.886,0.25095625,2.2955375,2.30225,0.207190625,16.80755648,16.78556169
2070.8964,BPPR4D01A1,9.175894584,9.219052224,9.654617988,9.705029014,100.2694842,99.98325109,6999.9,3399267.399,3399267.399,70.13431013,70.41514042,70.4029304,75.15262515,75.16483516,1.734791761,36.375,35.75,480.275,1419.596875,1419.475,5999.26875,5999.5,6999.825,7000.2,19.3875,19.35,15086.625,15084.0,40.17449954,40.16999888,12.44656256,12.47000027,102.0,0.246001813,0.260008239,15.86690625,1.886,0.25095625,2.2955375,2.30225,0.207190625,16.80755648,16.78556169
